2024-09-02 13:54:18 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111b57b50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:54:18 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111b57be0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 13:54:18 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111b57d00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 16:32:17 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111e47850>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 16:32:17 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111e47940>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 16:32:17 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111e47a60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 16:32:17 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111e47f40>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 16:32:17 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111f00070>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 16:32:17 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111f00130>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 16:40:18 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1060a37f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
